Country,League,Season,Date,Time,Home,Away,Odd Home,Odd Draw,Odd Away,HG,AG,Match_Result_Home_Perspective,Total_Goals,BTTS,Res,Home_Team_Goals_Per_Game_Season,Away_Team_Goals_Per_Game_Season,H2H_Goals_Per_Game,Team_A_swapped,Team_B_swapped,Home_Goals_Per_Game_vs_Away,Away_Goals_Per_Game_vs_Home
Brazil,Serie A,2012,19-05-12,22:30,Palmeiras,Portuguesa,1.69,3.5,4.9,1,1,0,2,1,D,1.026315789,1.026315789,2.5,,,0.5,2
Brazil,Serie A,2012,19-05-12,22:30,Sport Recife,Flamengo RJ,2.59,3.23,2.58,1,1,0,2,1,D,1.026315789,1.026315789,2.25,Flamengo RJ,Sport Recife,0.6875,1.5625
Brazil,Serie A,2012,20-05-12,01:00,Figueirense,Nautico,1.59,3.67,5.64,2,1,1,3,1,H,1.026315789,1.157894737,4,,,2,2
Brazil,Serie A,2012,20-05-12,20:00,Botafogo RJ,Sao Paulo,2.35,3.26,2.84,4,2,1,6,1,H,1.578947368,1.552631579,2.826086957,,,1.173913043,1.652173913
Brazil,Serie A,2012,20-05-12,20:00,Corinthians,Fluminense,1.89,3.33,3.89,0,1,-1,1,0,A,1.342105263,1.605263158,2.222222222,,,1.111111111,1.111111111
Brazil,Serie A,2012,20-05-12,20:00,Internacional,Coritiba,1.66,3.55,5.1,2,0,1,2,0,H,1.157894737,1.394736842,2.1875,Coritiba,Internacional,1.4375,0.75
Brazil,Serie A,2012,20-05-12,20:00,Ponte Preta,Atletico-MG,2.74,3.23,2.45,0,1,-1,1,0,A,0.973684211,1.684210526,2.9,Atletico-MG,Ponte Preta,0.9,2
Brazil,Serie A,2012,20-05-12,22:30,Bahia,Santos,2.3,3.22,2.97,0,0,0,0,0,D,0.973684211,1.315789474,2.157894737,,,0.842105263,1.315789474
Brazil,Serie A,2012,20-05-12,22:30,Cruzeiro,Atletico GO,1.78,3.47,4.3,0,0,0,0,0,D,1.236842105,0.973684211,2,Atletico GO,Cruzeiro,1.666666667,0.333333333
Brazil,Serie A,2012,20-05-12,22:30,Vasco,Gremio,2.08,3.25,3.41,2,1,1,3,1,H,1.184210526,1.473684211,2.052631579,Gremio,Vasco,0.684210526,1.368421053
Brazil,Serie A,2012,26-05-12,22:30,Atletico GO,Ponte Preta,1.66,3.59,5.04,1,1,0,2,1,D,0.973684211,0.973684211,3.25,,,2,1.25
Brazil,Serie A,2012,26-05-12,22:30,Flamengo RJ,Internacional,1.99,3.23,3.74,3,3,0,6,1,D,1.026315789,1.157894737,2.84,,,1.28,1.56
Brazil,Serie A,2012,26-05-12,22:30,Portuguesa,Vasco,2.62,3.22,2.54,0,1,-1,1,0,A,1.026315789,1.184210526,1.5,,,0.5,1
Brazil,Serie A,2012,27-05-12,01:00,Nautico,Cruzeiro,2.67,3.18,2.55,0,0,0,0,0,D,1.157894737,1.236842105,2.75,Cruzeiro,Nautico,0.25,2.5
Brazil,Serie A,2012,27-05-12,20:00,Atletico-MG,Corinthians,2.08,3.28,3.43,1,0,1,1,0,H,1.684210526,1.342105263,1.777777778,,,0.925925926,0.851851852
Brazil,Serie A,2012,27-05-12,20:00,Coritiba,Botafogo RJ,1.77,3.6,4.15,2,3,-1,5,1,A,1.394736842,1.578947368,2.4375,Botafogo RJ,Coritiba,0.9375,1.5
Brazil,Serie A,2012,27-05-12,20:00,Santos,Sport Recife,1.41,4.17,7.46,0,0,0,0,0,D,1.315789474,1.026315789,2.235294118,,,1.176470588,1.058823529
Brazil,Serie A,2012,27-05-12,20:00,Sao Paulo,Bahia,1.44,4.12,6.93,1,0,1,1,0,H,1.552631579,0.973684211,1.904761905,Bahia,Sao Paulo,1.19047619,0.714285714
Brazil,Serie A,2012,27-05-12,22:30,Fluminense,Figueirense,1.65,3.61,5.08,2,2,0,4,1,D,1.605263158,1.026315789,2.875,Figueirense,Fluminense,1.625,1.25
Brazil,Serie A,2012,27-05-12,22:30,Gremio,Palmeiras,1.97,3.33,3.66,1,0,1,1,0,H,1.473684211,1.026315789,2.304347826,,,0.826086957,1.47826087
Brazil,Serie A,2012,06-06-12,23:30,Atletico GO,Gremio,2.28,3.26,2.96,0,1,-1,1,0,A,0.973684211,1.473684211,2.1,,,0.9,1.2
Brazil,Serie A,2012,06-06-12,23:30,Sport Recife,Palmeiras,2.46,3.17,2.77,2,1,1,3,1,H,1.026315789,1.026315789,3,Palmeiras,Sport Recife,1.235294118,1.764705882
Brazil,Serie A,2012,07-06-12,00:30,Atletico-MG,Bahia,1.43,4.13,7.23,1,1,0,2,1,D,1.684210526,0.973684211,2.380952381,,,1.095238095,1.285714286
Brazil,Serie A,2012,07-06-12,00:30,Coritiba,Portuguesa,1.59,3.72,5.37,2,0,1,2,0,H,1.394736842,1.026315789,1.75,,,0.75,1
Brazil,Serie A,2012,07-06-12,00:30,Vasco,Nautico,1.37,4.4,8.19,4,2,1,6,1,H,1.184210526,1.157894737,3.25,Nautico,Vasco,2.5,0.75
Brazil,Serie A,2012,07-06-12,01:50,Internacional,Sao Paulo,1.86,3.41,4.03,1,0,1,1,0,H,1.157894737,1.552631579,2.25,,,1.208333333,1.041666667
Brazil,Serie A,2012,07-06-12,01:50,Ponte Preta,Flamengo RJ,2.55,3.21,2.67,2,2,0,4,1,D,0.973684211,1.026315789,2.1,Flamengo RJ,Ponte Preta,1.1,1
Brazil,Serie A,2012,07-06-12,01:50,Santos,Fluminense,2.02,3.23,3.63,1,1,0,2,1,D,1.315789474,1.605263158,2.36,Fluminense,Santos,1.2,1.16
Brazil,Serie A,2012,08-06-12,01:00,Botafogo RJ,Cruzeiro,2.02,3.32,3.58,2,3,-1,5,1,A,1.578947368,1.236842105,2.222222222,,,0.888888889,1.333333333
Brazil,Serie A,2012,08-06-12,01:00,Corinthians,Figueirense,1.56,3.77,5.68,1,1,0,2,1,D,1.342105263,1.026315789,2,,,1,1
Brazil,Serie A,2012,09-06-12,22:30,Flamengo RJ,Coritiba,1.93,3.34,3.83,3,1,1,4,1,H,1.026315789,1.394736842,2.666666667,Coritiba,Flamengo RJ,1.666666667,1
Brazil,Serie A,2012,10-06-12,01:00,Palmeiras,Atletico-MG,2.05,3.37,3.39,0,1,-1,1,0,A,1.026315789,1.684210526,2.4,Atletico-MG,Palmeiras,1.16,1.24
Brazil,Serie A,2012,10-06-12,20:00,Portuguesa,Atletico GO,2.08,3.26,3.4,2,0,1,2,0,H,1.026315789,0.973684211,2,Atletico GO,Portuguesa,1.5,0.5
Brazil,Serie A,2012,10-06-12,21:00,Bahia,Vasco,2.93,3.24,2.31,1,2,-1,3,1,A,0.973684211,1.184210526,2.4375,,,1.625,0.8125
Brazil,Serie A,2012,10-06-12,21:00,Fluminense,Internacional,1.92,3.27,3.95,0,0,0,0,0,D,1.605263158,1.157894737,2.28,,,0.96,1.32
Brazil,Serie A,2012,10-06-12,21:00,Gremio,Corinthians,1.53,3.84,6.06,2,0,1,2,0,H,1.473684211,1.342105263,1.84,Corinthians,Gremio,0.92,0.92
Brazil,Serie A,2012,10-06-12,22:30,Cruzeiro,Sport Recife,1.55,3.83,5.76,1,0,1,1,0,H,1.236842105,1.026315789,1.769230769,,,1.384615385,0.384615385
Brazil,Serie A,2012,10-06-12,22:30,Figueirense,Ponte Preta,1.74,3.51,4.52,0,0,0,0,0,D,1.026315789,0.973684211,1.833333333,,,1,0.833333333
Brazil,Serie A,2012,10-06-12,22:30,Nautico,Botafogo RJ,2.35,3.36,2.8,3,2,1,5,1,H,1.157894737,1.578947368,3.75,Botafogo RJ,Nautico,1.25,2.5
Brazil,Serie A,2012,10-06-12,22:30,Sao Paulo,Santos,1.83,3.42,4.11,1,0,1,1,0,H,1.552631579,1.315789474,2.36,Santos,Sao Paulo,1.08,1.28
Brazil,Serie A,2012,16-06-12,22:30,Cruzeiro,Figueirense,1.72,3.53,4.54,1,0,1,1,0,H,1.236842105,1.026315789,3.25,,,2.125,1.125
Brazil,Serie A,2012,16-06-12,22:30,Internacional,Botafogo RJ,1.54,3.91,5.7,1,2,-1,3,1,A,1.157894737,1.578947368,2.904761905,Botafogo RJ,Internacional,1.476190476,1.428571429
Brazil,Serie A,2012,17-06-12,01:00,Fluminense,Portuguesa,1.46,4.04,6.8,4,1,1,5,1,H,1.605263158,1.026315789,3.25,,,2.25,1
Brazil,Serie A,2012,17-06-12,20:00,Bahia,Sport Recife,1.96,3.34,3.68,2,1,1,3,1,H,0.973684211,1.026315789,1.916666667,,,0.666666667,1.25
Brazil,Serie A,2012,17-06-12,20:00,Flamengo RJ,Santos,1.63,3.65,5.12,1,0,1,1,0,H,1.026315789,1.315789474,2.28,,,1.24,1.04
Brazil,Serie A,2012,17-06-12,20:00,Palmeiras,Vasco,2.33,3.24,2.91,1,1,0,2,1,D,1.026315789,1.184210526,2.235294118,,,1.470588235,0.764705882
Brazil,Serie A,2012,17-06-12,20:00,Sao Paulo,Atletico-MG,2.1,3.23,3.38,1,0,1,1,0,H,1.552631579,1.684210526,2.185185185,Atletico-MG,Sao Paulo,1,1.185185185
Brazil,Serie A,2012,17-06-12,22:30,Coritiba,Atletico GO,1.83,3.42,4.08,3,0,1,3,0,H,1.394736842,0.973684211,2.625,Atletico GO,Coritiba,1.625,1
Brazil,Serie A,2012,17-06-12,22:30,Nautico,Gremio,2.44,3.26,2.73,1,0,1,1,0,H,1.157894737,1.473684211,1.75,Gremio,Nautico,0.25,1.5
